coordinator_1  | 2024-02-27 10:25:34,149.149 WARNING:   Worker: 4 | Completed snapshot: 30 | started at: 1709029534127.8132 | ended at: 1709029534148.299 | took: 20.48583984375ms
coordinator_1  | 2024-02-27 10:25:34,150.150 WARNING:   Worker: 3 | Completed snapshot: 30 | started at: 1709029534128.1282 | ended at: 1709029534148.4167 | took: 20.28857421875ms
coordinator_1  | 2024-02-27 10:25:34,150.150 WARNING:   Worker: 2 | Completed snapshot: 30 | started at: 1709029534127.8386 | ended at: 1709029534148.2185 | took: 20.3798828125ms
coordinator_1  | 2024-02-27 10:25:35,151.151 WARNING:   Worker: 2 | Completed snapshot: 31 | started at: 1709029535130.6545 | ended at: 1709029535149.8752 | took: 19.220703125ms
coordinator_1  | 2024-02-27 10:25:35,152.152 WARNING:   Worker: 3 | Completed snapshot: 31 | started at: 1709029535130.7195 | ended at: 1709029535150.2126 | took: 19.4931640625ms
coordinator_1  | 2024-02-27 10:25:35,152.152 WARNING:   Worker: 1 | Completed snapshot: 31 | started at: 1709029535130.603 | ended at: 1709029535150.2708 | took: 19.667724609375ms
coordinator_1  | 2024-02-27 10:25:35,152.152 WARNING:   Worker: 4 | Completed snapshot: 31 | started at: 1709029535130.6775 | ended at: 1709029535150.1882 | took: 19.5107421875ms
coordinator_1  | 2024-02-27 10:25:36,156.156 WARNING:   Worker: 3 | Completed snapshot: 32 | started at: 1709029536134.2942 | ended at: 1709029536154.2844 | took: 19.990234375ms
coordinator_1  | 2024-02-27 10:25:36,156.156 WARNING:   Worker: 1 | Completed snapshot: 32 | started at: 1709029536134.2417 | ended at: 1709029536154.2048 | took: 19.963134765625ms
coordinator_1  | 2024-02-27 10:25:36,156.156 WARNING:   Worker: 4 | Completed snapshot: 32 | started at: 1709029536134.2551 | ended at: 1709029536154.3093 | took: 20.05419921875ms
coordinator_1  | 2024-02-27 10:25:36,156.156 WARNING:   Worker: 2 | Completed snapshot: 32 | started at: 1709029536134.12 | ended at: 1709029536154.1843 | took: 20.064208984375ms
coordinator_1  | 2024-02-27 10:25:37,159.159 WARNING:   Worker: 4 | Completed snapshot: 33 | started at: 1709029537137.4185 | ended at: 1709029537158.3962 | took: 20.977783203125ms
coordinator_1  | 2024-02-27 10:25:37,160.160 WARNING:   Worker: 2 | Completed snapshot: 33 | started at: 1709029537137.309 | ended at: 1709029537158.4001 | took: 21.091064453125ms
coordinator_1  | 2024-02-27 10:25:37,160.160 WARNING:   Worker: 1 | Completed snapshot: 33 | started at: 1709029537137.2754 | ended at: 1709029537158.2656 | took: 20.990234375ms
coordinator_1  | 2024-02-27 10:25:37,160.160 WARNING:   Worker: 3 | Completed snapshot: 33 | started at: 1709029537137.4978 | ended at: 1709029537158.7795 | took: 21.28173828125ms
coordinator_1  | 2024-02-27 10:25:38,157.157 WARNING:   Worker: 1 | Completed snapshot: 34 | started at: 1709029538139.804 | ended at: 1709029538155.2993 | took: 15.495361328125ms
coordinator_1  | 2024-02-27 10:25:38,157.157 WARNING:   Worker: 2 | Completed snapshot: 34 | started at: 1709029538139.8755 | ended at: 1709029538155.3225 | took: 15.447021484375ms
coordinator_1  | 2024-02-27 10:25:38,157.157 WARNING:   Worker: 4 | Completed snapshot: 34 | started at: 1709029538139.851 | ended at: 1709029538155.581 | took: 15.72998046875ms
coordinator_1  | 2024-02-27 10:25:38,157.157 WARNING:   Worker: 3 | Completed snapshot: 34 | started at: 1709029538139.9556 | ended at: 1709029538155.8716 | took: 15.916015625ms
coordinator_1  | 2024-02-27 10:25:39,167.167 WARNING:   Worker: 3 | Completed snapshot: 35 | started at: 1709029539146.005 | ended at: 1709029539165.723 | took: 19.718017578125ms
coordinator_1  | 2024-02-27 10:25:39,167.167 WARNING:   Worker: 1 | Completed snapshot: 35 | started at: 1709029539145.8293 | ended at: 1709029539165.7043 | took: 19.875ms
coordinator_1  | 2024-02-27 10:25:39,167.167 WARNING:   Worker: 2 | Completed snapshot: 35 | started at: 1709029539146.0115 | ended at: 1709029539165.7905 | took: 19.779052734375ms
coordinator_1  | 2024-02-27 10:25:39,167.167 WARNING:   Worker: 4 | Completed snapshot: 35 | started at: 1709029539145.8645 | ended at: 1709029539165.7134 | took: 19.848876953125ms
